#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Processing all reads in FASTQ files
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	569918	562580	98.73	590	0.10	142	0.02	1111	0.19	5495	0.96
Ecoli	569918	569917	100.00	0	0.00	0	0.00	0	0.00	1	0.00
PhiX	569918	569918	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Contamnts_Adaptrs	569918	569918	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Vectors	569918	569341	99.90	0	0.00	0	0.00	53	0.01	524	0.09
Bacteria_24k	569918	565616	99.24	649	0.11	613	0.11	499	0.09	2541	0.45
Protists_1k	569918	558923	98.07	1447	0.25	1667	0.29	884	0.16	6997	1.23
Viruses	569918	567493	99.58	12	0.00	2	0.00	404	0.07	2007	0.35
Fungi_RefSeq_release	569918	563593	98.89	303	0.05	58	0.01	1137	0.20	4827	0.85
Coral	569918	566366	99.38	55	0.01	18	0.00	715	0.13	2764	0.48
Bird	569918	564723	99.09	216	0.04	25	0.00	1142	0.20	3812	0.67
Plant	569918	566654	99.43	49	0.01	9	0.00	594	0.10	2612	0.46

%Hit_no_genomes: 97.49
